Brand_Name,Item_Name,Number_Likes,Condition,Color,Size,Price,Img_Length,Measurements,Description
Reese Cooper,Reece Cooper bandana print jacket,25,Condition Gently Used,Color Green,Size Men's / US L / EU 52-54 / 3,$150 ,3,TRUE,Sick cropped jacket perfect for light layering or layering over a hoodie.
Reese Cooper,Reese Cooper A/W ‘21 Denim Jacket,8,Condition Gently Used,Color Blue,Size Men's / US S / EU 44-46 / 1,$135 ,5,TRUE,"Worn a few times, doesn’t fit in my closet anymore!"
Reese Cooper,Reese Cooper Duck Jacket,142,Condition Used,Color Navy,Size Men's / US L / EU 52-54 / 3,$518 ,7,TRUE,"Blue duck/ work jacket with brown corduroy collar
No inner lining/ extra insulation
Light signs of wear"
Reese Cooper,DIY Chore Coat Kit Any Size,49,Condition New,Color Black,Size Men's / US L / EU 52-54 / 3,$126 ,3,FALSE,"This is the first installment of our RCI - DIY series. This is a complete kit with instructions on how to make your own chore coat out of RCI deadstock fabric. On paper, this is just materials, but after around 40 steps (or magic) this will be something you can be proud of. The print on the fabric can go anywhere on the garment or not at all. Get creative, have fun. Thank you for participating.
INSIDE THE BOX:
Black Cotton Denim x 2.5 yards
Instruction Booklet x 1
Pattern x 1
12x2"" Transparent Graphing Ruler x 1
Snap Buttons x 6
RCI Sleeve Patch x 1
RCI Embroidered Patches x 3
Note: This is NOT a finished garment. This is the supplies needed to create a product of your own. The images of the jacket provided are to portray the end result after construction."
Levi's × Reese Cooper,Reece Cooper x Levis Jacket,1,Condition Gently Used,Color Green,Size Men's / US L / EU 52-54 / 3,$250 ,6,FALSE,"Cropped fit, beautiful jacket."
Reese Cooper,Cotton Twill Hunting Jacket,121,Condition New,Color Black,Size Men's / US L / EU 52-54 / 3,$368 ,13,TRUE,"Brand new with tags. Never worn. Fits TTS
“Our cotton twill outer is the perfect weight all year long. Featuring a corduroy collar and array of cargo pockets, the jacket is both unique and functional. Complete with button front closure, RCI signature hook detail and sleeve patch. Pair it with some cargos or shorts this season.”"
Reese Cooper,FINAL<U+0001F4CC>Camouflage Quilted Parka Liner,82,Condition New,Color Green,Size Men's / US M / EU 48-50 / 2,$100 ,9,TRUE,"Reese Cooper “Camouflage Quilted Parka Liner” in the “Camo Green / Orange” colorway.This product is brand new, deadstock, and comes with its original tags.
Amazing layering piece in a camo you won't see anywhere else
Raccagni zips you know what it is
Get it before HiddenNY posts it
HMU n OFFER
Size: US Medium
MSRP: $745.00 USD"
Levi's × Reese Cooper,Reese Copper Type II Trucker Jacket,24,Condition Gently Used,Color Cream,Size Men's / US M / EU 48-50 / 2,$158 ,4,TRUE,"Worn once in perfect condition
Open to trades
Message with any questions"
Reese Cooper,Reese Cooper Raw Denim Jacket // Very Open To Offers,39,Condition Gently Used,Color Denim,Size Men's / US M / EU 48-50 / 2,$210 ,5,TRUE,"Beautiful, high quality raw denim jacket from Reese Cooper. Worn twice, near brand new condition."
Reese Cooper,Reese Cooper Work Jacket,172,Condition Gently Used,Color Blue,Size Men's / US M / EU 48-50 / 2,$272 ,11,TRUE,"Pre-Fall 2019 Menswear, “AGAINST THE WIND”
Boxy fit- built to be layered over a sweatshirt or hoodie
No flaws
US shipping only
No refunds
PM with offers or questions- thank you!"
Reese Cooper,Reese Cooper Brushed Wool Flannel Shirt Jacket,37,Condition Gently Used,Color Brown,Size Men's / US XL / EU 56 / 4,$90 ,7,TRUE,From the FW21 Pyrophite Collection. Gently used. Lmk if any questions
Reese Cooper,Reese Cooper Nylon Bomber Jacket in Green,76,Condition Gently Used,Color Green,Size Men's / US L / EU 52-54 / 3,$260 ,3,TRUE,"Worn 1 Time
Great Condition
Size Large"
Reese Cooper,Reese copper shell jacket (harrods exclusive),9,Condition Gently Used,Color Black,Size Men's / US S / EU 44-46 / 1,$380 ,7,TRUE,"this is a jacket from the reese coppers capsule collection with harrods, i have never seen this jacket posted anywhere else as it was only sold in harrods, it has an amazing all over hunting dogs design"
Reese Cooper,Reese Cooper Bomber Jacket SZ Mens M WOOL SERGE,13,Condition New,Color Black,Size Men's / US M / EU 48-50 / 2,$132 ,12,TRUE,"Never worn
Size Mens Medium"
Reese Cooper,Reese Cooper Cropped Sherpa Fleece,0,Condition Gently Used,Color Black,Size Men's / US L / EU 52-54 / 3,$300 ,5,TRUE,"Reese Cooper Cargo Fleece
__________________________
worn once for a reese cooper event for like 2 hours; still has tags attatched!
no real signs of wear
ships next day!"
Reese Cooper,Reese Cooper Washed Japanese Denim Jacket w/ Corduroy Collar,43,Condition New,Color Washed denim,Size Men's / US M / EU 48-50 / 2,$259 ,5,TRUE,"________________________________________
Reese Cooper Inc. Washed Japanese Denim Jacket with Corduroy Collar
SIZE - Medium
SEASON - Spring / Summer 2022 (SS22)
________________________________________
ABOUT:
Made of Japanese Kurabo denim, the standard issue RCI denim jacket features a seasonal twist with a corduroy collar and adjustable strap in the back. The jacket has two large patch pockets on the front, button closure on the sleeves and double pleating in the chest.
________________________________________
FEATURES:
• Deadstock Kurabo Japanese milled cotton denim
• Contrast corduroy collar
• Eco friendly wash process and label
• Button front closure
• Hand patch pockets on front
• Bluesign® Certified
• Double pleating on front
• Pleating on back
• Adjustable strap in back
• Button closure in cuffs
• RCI signature hook detail
• RCI sleeve patch
• Made in Los Angeles, CA
RETAIL = $588
________________________________________
TERMS & CONDITIONS:
All sales are final (NO RETURNS)
International orders shipped w/ USPS Priority + insurance
Buyer is responsible for import duties and tariffs
________________________________________
STANDARD SHIPPING TIME:
US ˜ 3–7 DAYS
CANADA ˜ 10–20 DAYS
OTHER ˜ 10–30 DAYS
________________________________________"
Reese Cooper,Reese Cooper “How a letter travels” Jacket,39,Condition Gently Used,Color Green,Size Men's / US S / EU 44-46 / 1,$212 ,5,FALSE,"Tagged: Small
In good condition
No major stains"
Reese Cooper,Reese Cooper RCI Compass Leather Cargo Jacket in Brown,11,Condition New,Color Brown,Size Men's / US M / EU 48-50 / 2,$600 ,13,TRUE,"Condition: Brand New
$2200 retail
Size: Medium
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper"
Reese Cooper,U.S. Mail Linen Bomber Jacket with tags,73,Condition Used,Color Dust,Size Men's / US L / EU 52-54 / 3,$130 ,6,TRUE,"-From Reese cooper’s “How a letter travels” collection. Lightweight bomber with graphics throughout. Made in America.
Used condition plenty of life left"
Reese Cooper,Reese Cooper cropped waxed hunting jacket,15,Condition Gently Used,Color Yellow,Size Men's / US L / EU 52-54 / 3,$180 ,6,TRUE,"Like new, wore maybe 5 times? It’s very nice and all of the touch points feel great. Two small dots of dirt I haven’t even tried to get off yet, but probably very easy."
Reese Cooper,Reese Cooper Hunting Jacket,3,Condition New,Color Green,Size Men's / US XS / EU 42 / 0,$240 ,4,FALSE,"Waxed cotton hunting jacket
Never worn from the FW21 “Pyrophyte” collection
Raccagni zippers, removable hood, really cool green lining"
Reese Cooper,Cotton Twill Work Jacket,59,Condition Gently Used,Color Black,Size Men's / US M / EU 48-50 / 2,$250 ,4,TRUE,Cropped cotton twill work jacket with brown leather collar
Reese Cooper,Fresh Air Sherpa Fleece,29,Condition Gently Used,Color Natrual,Size Men's / US M / EU 48-50 / 2,$112 ,4,TRUE,"Cropped sherpa fleece from RC
Simple piece, very warm
Great fit
Size M, fits TTS
I am doing a closet clearout, so I am doing package deals!
Open to offers
You are buying the item as is so please look at the pics carefully and ask any questions beforehand. Once the item is shipped it is no longer my responsibility(fees, duties, taxes), no returns or refunds."
Reese Cooper,Reese Cooper Olive Pullover Anorak Size M,91,Condition Gently Used,Color Olive,Size Men's / US M / EU 48-50 / 2,$200 ,7,TRUE,"Worn once 9.9/10 Condition
Tagged size M
Raglan Shoulders
Raccagni Zipper
Beautiful anorak from Reese Cooper made from 8oz canvas. It has adjustable cords to adjust the fit or crop the anorak. With two huge pockets on the stomach that includes side entry. Also with the signature Reese Cooper hook. Finished with 3 patches total.
Msg me anything"
Reese Cooper,Rci Cotton Work Jacket,9,Condition Gently Used,Color Black,Size Men's / US M / EU 48-50 / 2,$270 ,7,TRUE,"Extremely detailed Jacket from Og Reese Cooper
Made from a smooth heavy cotton with a satin inside liner that really makes this jacket feel so cozy I tried to show the satin liner in the 3rd pic.
The corduroy collar is a really nice detail as well and there’s many more but I’ll try to let the pics speak the rest if you have any questions lmk."
Reese Cooper,RCI Reserve: Work Jacket,9,Condition New,Color Blue,Size Men's / US L / EU 52-54 / 3,$515 ,5,TRUE,"Tried on, and it was too big. I usually wear an S-M in Reese Cooper outerwear for reference. Giving someone a chance to purchase this. Going to send it back in a couple of days otherwise.
## Just going to hold on to it
## Only tried on once. In hand, ready to ship"
Reese Cooper,“How A Letter Travels”,21,Condition Gently Used,Color Blue,Size Men's / US M / EU 48-50 / 2,$182 ,4,TRUE,"Only Worn Twice
Great Condition
9.5/10
Serious Inquiries Only"
Reese Cooper,"SS20 ""HOW A LETTER TRAVELS"" Denim Chore Coat",3,Condition Gently Used,Color Denim,Size Men's / US L / EU 52-54 / 3,$200 ,7,TRUE,"Denim Coat is in excellent condition from SS20. Worn a handful of times, an absolute beauty of a piece.
if you have any questions or requests feel free to reach out"
Reese Cooper × Vintage,Reese Cooper SS22 “Fresh Air” Fleece,82,Condition Gently Used,Color Green,Size Men's / US L / EU 52-54 / 3,$150 ,4,TRUE,great condition.
Reese Cooper,Reese Cooper Sherpa Fleece,53,Condition Gently Used,Color Beige,Size Men's / US S / EU 44-46 / 1,$250 ,4,TRUE,Size S
Reese Cooper,Reese cooper varsity jacket,1,Condition Gently Used,Color Yellow,Size Men's / US M / EU 48-50 / 2,$128 ,5,TRUE,Need gone great condition.
Reese Cooper,Reese Cooper - Canvas Varisty Jacket,63,Condition Gently Used,Color Yellow,Size Men's / US S / EU 44-46 / 1,$217 ,0,TRUE,"Reese Cooper SS21 - Canvas Varsity Jacket
Size S
Color - Yellow/Cream
Quilted inside
ships in 1-3 business days"
Reese Cooper,SHERPA FLEECE JACKET,38,Condition New,Color Khaki coyote,Size Men's / US M / EU 48-50 / 2,$230 ,12,TRUE,"Size Medium
Made in USA
100% Polyester
75%Nylon 25% CO
no return"
Reese Cooper,Leather jacket,51,Condition New,Color Blue,Size Men's / US M / EU 48-50 / 2,$550 ,9,TRUE,"Rare. Never worn. With original receipt. US $1800 from Saks. Leather and wool. Padded. Fits large to size, more like Medium."
Reese Cooper,Cotton Twill Work Jacket,71,Condition Gently Used,Color Black,Size Men's / US L / EU 52-54 / 3,$140 ,5,TRUE,"Bought as an exclusive piece from Mr Porter.
Worn only a handful of times, as I am obsessed with workwear. Need to get this to someone who does it justice and gives it more wear.
MSRP: 700$
Fits a bit small, I normally gravitate between an M and L. Would say it fits an M really well."
Reese Cooper,Reese Cooper Corduroy Jacket (FINAL DROP)(SEND OFFERS),140,Condition Gently Used,Color Light brown,Size Men's / US L / EU 52-54 / 3,$204 ,5,TRUE,"Reese Cooper jacket
Looks almost brand new
Would say size is L
Please send offers or messages on more info on the item
Condition 10/10
Will only ship in U.S and Canada
No Refunds or returns"
Reese Cooper × Streetwear × Vintage,REESE COOPER CONSTRUCTION WORK JACKET,96,Condition Gently Used,Color Green,Size Men's / US L / EU 52-54 / 3,$158 ,13,TRUE,"Act FAST before it’s GONE!
Super High Quality jacket
Size L
Great condition
Very rare jacket
Special projects
Heavy weight material"
Reese Cooper,Reese Cooper Duck Jacket,112,Condition Used,Color Navy,Size Men's / US L / EU 52-54 / 3,$350 ,7,TRUE,"Blue duck/ work jacket with brown corduroy collar
No inner lining/ extra insulation"
Reese Cooper,Reese Cooper A/W ‘21 Denim Jacket,2,Condition Gently Used,Color Blue,Size Men's / US S / EU 44-46 / 1,$140 ,5,FALSE,"Worn a few times, doesn’t fit in my closet anymore!"
Reese Cooper,REESE COOPER BLACK FLEECE,13,Condition New,Color Black,Size Men's / US L / EU 52-54 / 3,$210 ,7,TRUE,Brand new Reese Cooper fleece
Reese Cooper,Cotton Twill Work Jacket,202,Condition New,Color Green,Size Men's / US XL / EU 56 / 4,$325 ,8,TRUE,"Brand new with tags
Size XL
Retail over 700$
Size chart see last pic
Ship within one business day
Only responding to binding offers"
Reese Cooper,Reese Cooper Bomber Size M,16,Condition Gently Used,Color Yellow,Size Men's / US M / EU 48-50 / 2,$180 ,4,TRUE,"Shipping via DHL from Germany
Condition 9/10
Retail 500€"
Levi's × Reese Cooper,Levi's x Reese Cooper Type II Trucker Jacket,16,Condition New,Color White,Size Men's / US M / EU 48-50 / 2,$183 ,8,TRUE,"Levi's x Reese Cooper Type II Trucker Jacket
Sold Out
Organic Cotton Duck Canvas
Brand New with Tag
Size Men’s Medium
Color: Off White / Ecru
Retailed for $266 shipped to the U.S.
$200 obo
Feel free to message me with any questions"
Reese Cooper,AW2018 Boxy Painter Denim Jacket,38,Condition Gently Used,Color Denim,Size Men's / US M / EU 48-50 / 2,$125 ,8,TRUE,"Beautiful jacket from Reese.
Retail: $700
In almost unused condition <U+0001F4F7>
Very fast shipping via FedEx, DHL, or EMS <U+0001F680>
Message any questions <U+0001F4AC>
Item number: m76693482270"
Levi's × Reese Cooper,REESE COOPER X LEVI'S DUCK CANVAS TYPE II TRUCKER JACKET IN,3,Condition New,Color Natrual,Size Men's / US L / EU 52-54 / 3,$190 ,6,TRUE,"Brand new and sealed
NO REFUNDS"
Reese Cooper,TWO STEPS FORWARD WOOL VARSITY JACKET,2,Condition New,Color Olive green,Size Men's / US M / EU 48-50 / 2,$650 ,13,TRUE,"Brand new, never worn.
A standout piece for Autumn Winter 22 is our Two Steps Forward Varsity Jacket. This piece represents a full expression of this season’s collection theme featuring chenille patches running the length of the soft Italian leather sleeves as well as the front of the jacket. The embroidery adds to the story of the garment showcasing aspects of home, the journey and the explorer. The two hand welt pockets are trimmed with soft leather accented by custom ribbing at the waste. With a snap front closure, the jacket is finished with the RCI signature hook on the chest and RCI sleeve label on the left sleeve
Italian wool body
Leather sleeves
RCI Green rayon twill lining
Hand welt pockets on front
Snap front closure
Contrast striped ribbing on cuffs and waistband
Embroidery on front
Chainstitch embroidery on back
Chenille patches on front, back and sleeves
Chest strap closure
RCI signature hook detail on chest
RCI sleeve patch on left sleeve
Made in Los Angeles, CA"
Reese Cooper,Denim Jacket,18,Condition Used,Color Gasoline wash,Size Men's / US M / EU 48-50 / 2,$135 ,3,TRUE,"Reese Cooper raw denim jacket.
Whispering in inner elbow
Lived in look"
Reese Cooper,Reese Cooper Brushed canvas Work Jacket 'Oat Grass Camo',42,Condition New,Color Beige,Size Men's / US M / EU 48-50 / 2,$210 ,4,TRUE,"Labeled medium with cropped fit, light jacket good for any occasion"
Reese Cooper,Reese Cooper Duck Canvas Letterman Jacket,81,Condition Gently Used,Color Yellow,Size Men's / US L / EU 52-54 / 3,$275 ,4,TRUE,"10/10, worn only once.
Amazing quality. Fits boxy and short
Distressing on purpose
*measured by hand. Measurements are approximate!
Final sale
Message any questions!"
Reese Cooper,Reese Cooper SS23 Staff Chore Coat,61,Condition New,Color Forest green,Size Men's / US L / EU 52-54 / 3,$149 ,6,TRUE,"Staff Chore Coat worn in Paris by staff at Reese Cooper SS23 fashion show in Paris
Size large
Refer to measurements"
Reese Cooper,REESE COOPER BRUSHED COTTON CANVAS ANORAK,48,Condition New,Color Beige camo,Size Men's / US XL / EU 56 / 4,$170 ,6,FALSE,"REESE COOPER BRUSHED COTTON CANVAS ANORAK
Size XL
Brand New with Tags
Sold Out due to past season
Retail was $695+
100% Authentic
Camo colorway
Perfect jacket for any type of occasion
Must have for any Reese Cooper Fans
<U+25AB><U+FE0F>DISEMBODIED, ALL ITEMS ARE 100% AUTHENTIC. BUY FROM A TRUSTED SELLER<U+25AA><U+FE0F>
<U+25AA><U+FE0F>FOLLOW ME FOR OTHER HEAT ITEMS<U+25AB><U+FE0F>
<U+25AA><U+FE0F>CHECK OUT MY OTHER LISTINGS<U+25AB><U+FE0F>
<U+25AA><U+FE0F>TERMS & CONDITIONS<U+25AB><U+FE0F> <U+25AA><U+FE0F>
DO NOT Offer unless you are PAYPAL READY, You will be blocked immediately.
<U+25AA><U+FE0F> DO NOT lowball, lowballing wastes both parties time doing so will result in a block. You will NOT be able to purchase any listings after being blocked.
<U+25AA><U+FE0F> Payment is required IMMEDIATELY after any offer has been accepted! <U+25AA><U+FE0F>I do NOT accept returns, be 100% sure before purchasing, ask for measurements before hand.
<U+25AA><U+FE0F> Once an item is purchased, it is YOURS. I will not refund.
<U+25AA><U+FE0F> If the offer button is disabled I am NOT accepting offers and the item is at its lowest pricing, so do NOT send any offers.
<U+25AA><U+FE0F>SHIPPING<U+25AB><U+FE0F>
<U+25AA><U+FE0F> Shipping will be sent to your PAYPAL email and all shipments will be sent out 24-72 hours after purchasing unless otherwise stated!
<U+25AA><U+FE0F> I am NOT responsible for any lost or stolen packages. If you want it insured I will gladly insure the item at YOUR expense. Any item over $350 USD will be insured at MY expense!
<U+25AA><U+FE0F>All shipping is documented for my protection so any fraudulent activity will be sent to Grailed & punishable by Law Enforcement.
<U+25AA><U+FE0F>PURCHASING ANY ITEMS PUTS YOU IN AN AGREEMENT TO ALL TERMS ABOVE<U+25AB><U+FE0F>"
Reese Cooper,Raw Denim Jacket,10,Condition Used,Color Blue,Size Men's / US M / EU 48-50 / 2,$213 ,3,TRUE,"Reese Cooper raw denim jacket.
Whispering in inner elbow
Lived in look"
Reese Cooper,Reese Cooper Seneca Arts Club jacket,19,Condition New,Color Black,Size Men's / US M / EU 48-50 / 2,$115 ,5,TRUE,"Reese Cooper
2017 release
Seneca Arts club medium weight canvas trucker style jacket
Size: medium
Colour: black with black Liner
Condition: 10/10 new without tags
One of Reece coopers first collections
Feel free to ask questions or for measurements
Open to offers"
Reese Cooper,Reese Cooper Work Jacket Black,44,Condition Gently Used,Color Black,Size Men's / US L / EU 52-54 / 3,$100 ,10,FALSE,"Lightly worn mostly just has like fuzz and dog hair, 8/10 i’d say, no noticeable flaws. Maybe very minimal staining but i can’t tell cause it hasn’t been washed. High quality & light work jacket.
length from bottom of collar to hem: 28
p2p: 23
under arm: 22.5
Message me with any questions questions or offers"
Reese Cooper,REESE COOPER x Levi’s Denim Trucker Men’s Medium,12,Condition Gently Used,Color White/cream,Size Men's / US M / EU 48-50 / 2,$142 ,7,TRUE,Like New No Flaws Big E Cropped Type 2 Jacket
Levi's × Reese Cooper,Reese Copper Type II Trucker Jacket,5,Condition Gently Used,Color Cream,Size Men's / US M / EU 48-50 / 2,$175 ,4,TRUE,"Worn once in perfect condition
Open to trades
Message with any questions"
Reese Cooper,Reese Cooper Waxed Orange Jacket,14,Condition Gently Used,Color Orange,Size Men's / US L / EU 52-54 / 3,$575 ,6,TRUE,"Worn only a few times, no major flaws
Message me if you have any questions"
Levi's × Reese Cooper,Type II Duck Canvas Trucker Jacket,3,Condition Gently Used,Color White,Size Men's / US XXS / EU 40,$112 ,5,TRUE,"Reese Cooper x Levi's
Fits true to size
Boxy & slightly cropped fit
Adjustable cuffs & side tabs
Fits Mens XXS/XS | Womens S
Worn once"
Reese Cooper,Reese cooper DIY chore jacket,20,Condition Gently Used,Color Tan,Size Men's / US L / EU 52-54 / 3,$60 ,5,FALSE,Made during covid not my style fits like an L
Reese Cooper,NWT SS22 Cropped Boxy Sherpa Fleece in Khaki Coyote,23,Condition New,Color Khaki coyote,Size Men's / US L / EU 52-54 / 3,$137 ,6,TRUE,Brand new with tags from SS22. Only tried on.
Reese Cooper,>NEED GONE<Brand new Reece cooper fleece,27,Condition New,Color Green,Size Men's / US XL / EU 56 / 4,$250 ,4,FALSE,Brand new. Purchased at Levi’s event in Los Angeles
Reese Cooper,Reese Cooper fleece jacket,54,Condition New,Color Beige,Size Men's / US M / EU 48-50 / 2,$250 ,4,TRUE,"New Reese cooper fleece jacket with tags.
Never worn.
Size M
Fits true to size but Cropped
Shipped in 24 hours guaranteed + Free Dutch Cookies.
Hit me up with any questions you have or offers."
Reese Cooper,BRUSHED COTTON CANVAS WORK JACKET,27,Condition New,Color Black,Size Men's / US M / EU 48-50 / 2,$308 ,10,TRUE,"Brand new, never worn.
The work jacket is an RCI staple. This season's iteration comes with a durable brushed cotton canvas outer and a smooth cotton rayon lining in RCI signature green. It has a contrast corduroy collar along with two double-entry cargo pockets with snap closures to carry everything you need.
There is a zipper front closure with a snapped flap closure at the collar and waistband. The jacket is finished with the RCI signature hook detail and sleeve patch.
Zipper front closure
Contrast corduroy collar
Two double-entry cargo pockets with flap on chest
Snap closure flap on chest and waistband
Raccagni zipper
RCI signature hook detail on chest
RCI sleeve patch on left sleeve
Made in Los Angeles, CA
Size Medium
Retail: $628"
Reese Cooper,Reese Cooper Duck Jacket,81,Condition Used,Color Navy,Size Men's / US L / EU 52-54 / 3,$212 ,7,TRUE,"Blue duck/ work jacket with brown corduroy collar
No inner lining/ extra insulation"
Reese Cooper,Reese cooper Sherpa Fleece Sweater Size L,26,Condition New,Color Khaki coyote,Size Men's / US L / EU 52-54 / 3,$302 ,14,TRUE,"Size: L
Retail: $600
Condition: Brand new with tags.
100% authentic
Fast shipper
Dm with any questions
Website Details:
This Sherpa fleece sweater is styled with a contrasting front panel, multiple pockets, and a drawstring hem
Stand collar
Long sleeves
Zipper closure
Three snap-button placket
Chest flap pockets
Side welt pockets
Drawstring hem
100% polyester
Trim: 75% nylon/25% cotton
Dry clean
Made in USA"
Reese Cooper,Sherpa Fleece in Forest Green,18,Condition Gently Used,Color Green,Size Men's / US M / EU 48-50 / 2,$217 ,8,TRUE,Though I really love this one I haven’t worn it as much as I wanted to and I’ve had it for almost a year! It’s a great crop fit and is super comfortable. I cut off a pocket in the front that I found annoying. Cut each thread carefully so you can’t tell at all.
Reese Cooper,Reese Cooper Sherpa Fleece Jacket in Cream Green,29,Condition New,Color Cream,Size Men's / US L / EU 52-54 / 3,$240 ,9,TRUE,"Condition: Brand New
Size: Large
Shipping: Ships next day!
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper"
Levi's × Reese Cooper,REESE COOPER X LEVI'S DUCK CANVAS TYPE II TRUCKER JACKET IN,66,Condition New,Color Natrual,Size Men's / US L / EU 52-54 / 3,$160 ,6,TRUE,"Brand new and sealed
NO REFUNDS"
Levi's × Reese Cooper,Reese Cooper x Levi's Trucker Denim jacket Type II,42,Condition Gently Used,Color Green,Size Men's / US M / EU 48-50 / 2,$240 ,5,FALSE,Reese Cooper x Levi's Trucker Denim jacket size M
Levi's × Reese Cooper,Reese Cooper Levi's Washed Denim Chore Jacket,2,Condition New,Color Indigo,Size Men's / US XL / EU 56 / 4,$250 ,8,TRUE,"Condition: Brand New
Size: XL
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper x Levi's"
